family,condition,train_eps,rob_lam,eps,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.08,5,delta_one_minus_confidence_attack_failed,0.053505052233828586,0.008504575943295413,0.0038033619858035875,0.04294691936123783,0.06406318510641934,5
bbb,robust,0.08,0.25,0.08,5,delta_one_minus_confidence_success_gap,0.1229524519988959,0.10603269873050905,0.047419264439834775,-0.008683426086085438,0.25458833008387727,5
bbb,robust,0.08,0.25,0.08,5,n_inputs_cert,50.0,0.0,0.0,50.0,50.0,5
bbb,robust,0.08,0.25,0.08,5,mean_p_safe_point,0.7919053960966396,0.0312412992991382,0.01397153378765791,0.7531204183021012,0.830690373891178,5
bbb,robust,0.08,0.25,0.08,5,median_p_safe_point,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.08,5,mean_p_safe_optimistic,0.8974540474429048,0.01729741392423957,0.007735638673910215,0.87597991448413,0.9189281804016796,5
bbb,robust,0.08,0.25,0.08,5,mean_p_safe_lower,0.7297172820182519,0.028949951061794904,0.012946811703893123,0.6937769327282446,0.7656576313082593,5
bbb,robust,0.08,0.25,0.08,5,mean_p_safe_upper,0.9072345072130199,0.01600970629666928,0.007159758315831786,0.8873590181282709,0.9271099962977689,5
bbb,robust,0.08,0.25,0.08,5,mean_interval_width,0.17751722519476787,0.018258975952334656,0.00816566228579085,0.15484934668941247,0.20018510370012327,5
bbb,robust,0.08,0.25,0.08,5,mean_ci_width,0.042899281467986175,0.0018563916810353403,0.0008302035983320256,0.04059463627901647,0.04520392665695588,5
bbb,robust,0.08,0.25,0.08,5,mean_unknown_frac,0.10575178385925957,0.018888706196000266,0.008447286212255612,0.08230211733403799,0.12920145038448114,5
bbb,robust,0.08,0.25,0.08,5,mean_property_evaluations,117.56800000000001,5.566158459835651,2.4892617379456095,110.657809415463,124.47819058453702,5
