architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,standard,,,standard,0.1,clean_correct,expected_entropy,rho_optimistic,5,-0.4653370420430106,0.04943131659881469,-0.5267141282475709,-0.40395995583845024
mlp512x1,bbb,val,standard,,,standard,0.1,all,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.1,all,mutual_information,rho_optimistic,5,-0.45158079889952907,0.05812998596917814,-0.5237587096935475,-0.37940288810551065
mlp512x1,bbb,val,standard,,,standard,0.1,clean_correct,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.1,clean_correct,mutual_information,rho_optimistic,5,-0.45824916847346725,0.06017026227367214,-0.5329604169011641,-0.38353792004577036
mlp512x1,bbb,val,standard,,,standard,0.1,all,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.1,all,one_minus_confidence,rho_optimistic,5,-0.452404562497716,0.047230363231759075,-0.511048804144678,-0.39376032085075396
mlp512x1,bbb,val,standard,,,standard,0.1,clean_correct,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.1,clean_correct,one_minus_confidence,rho_optimistic,5,-0.4589589395360572,0.04832863086552924,-0.5189668605642641,-0.3989510185078503
mlp512x1,bbb,val,standard,,,standard,0.1,all,predictive_entropy,rho_pessimistic,0,,,,
