architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,task,tau,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.9,auprc,3,0.8333333333333334,0.28867513459481287,0.11622454504175639,1.5504421216249105
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.9,prevalence,5,0.012677304964539008,0.011574157905905007,-0.0016939102167487091,0.027048520145826725
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,pgd_failure,,auroc,3,0.9858156028368793,0.012284048280630353,0.9553003352500037,1.016330870423755
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,pgd_failure,,auprc,3,0.6666666666666666,0.28867513459481287,-0.05044212162491035,1.3837754549582435
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,pgd_failure,,prevalence,5,0.0125,0.01141088661469096,-0.00166848709704699,0.026668487097046993
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,certified_below_threshold,0.5,auroc,5,0.8828033456675918,0.05471467499501682,0.8148661035528597,0.9507405877823238
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,certified_below_threshold,0.5,auprc,5,0.646104077082338,0.08593932030368098,0.5393963170311555,0.7528118371335204
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,certified_below_threshold,0.5,prevalence,5,0.05240816326530612,0.010969648786642656,0.03878754529399233,0.06602878123661991
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,certified_below_threshold,0.9,auroc,5,0.8862318840579709,0.04931975780638176,0.8249933163896577,0.9474704517262842
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,certified_below_threshold,0.9,auprc,5,0.6475018402649981,0.08424393525105019,0.5428991787967601,0.7521045017332362
